"Date","Social Volume"
"2019-04-02T00:00:00.000Z","13948"
"2019-04-03T00:00:00.000Z","13506"
"2019-04-04T00:00:00.000Z","9009"
"2019-04-05T00:00:00.000Z","8437"
"2019-04-06T00:00:00.000Z","7808"
"2019-04-07T00:00:00.000Z","7078"
"2019-04-08T00:00:00.000Z","9245"
"2019-04-09T00:00:00.000Z","8546"
"2019-04-10T00:00:00.000Z","8942"
"2019-04-11T00:00:00.000Z","8353"
"2019-04-12T00:00:00.000Z","7030"
"2019-04-13T00:00:00.000Z","5867"
"2019-04-14T00:00:00.000Z","5934"
"2019-04-15T00:00:00.000Z","8108"
"2019-04-16T00:00:00.000Z","7798"
"2019-04-17T00:00:00.000Z","7222"
"2019-04-18T00:00:00.000Z","6988"
"2019-04-19T00:00:00.000Z","7033"
"2019-04-20T00:00:00.000Z","7511"
"2019-04-21T00:00:00.000Z","8360"
"2019-04-22T00:00:00.000Z","8785"
"2019-04-23T00:00:00.000Z","11607"
"2019-04-24T00:00:00.000Z","9674"
"2019-04-25T00:00:00.000Z","9054"
"2019-04-26T00:00:00.000Z","9235"
"2019-04-27T00:00:00.000Z","5916"
"2019-04-28T00:00:00.000Z","6457"
"2019-04-29T00:00:00.000Z","7697"
"2019-04-30T00:00:00.000Z","7583"
"2019-05-01T00:00:00.000Z","7782"
"2019-05-02T00:00:00.000Z","8543"
"2019-05-03T00:00:00.000Z","10454"
"2019-05-04T00:00:00.000Z","8330"
"2019-05-05T00:00:00.000Z","7083"
"2019-05-06T00:00:00.000Z","7542"
"2019-05-07T00:00:00.000Z","9626"
"2019-05-08T00:00:00.000Z","12522"
"2019-05-09T00:00:00.000Z","12486"
"2019-05-10T00:00:00.000Z","13375"
"2019-05-11T00:00:00.000Z","16695"
"2019-05-12T00:00:00.000Z","12603"
"2019-05-13T00:00:00.000Z","15607"
"2019-05-14T00:00:00.000Z","14834"
"2019-05-15T00:00:00.000Z","14433"
"2019-05-16T00:00:00.000Z","13169"
"2019-05-17T00:00:00.000Z","12897"
"2019-05-18T00:00:00.000Z","8118"
"2019-05-19T00:00:00.000Z","11381"
"2019-05-20T00:00:00.000Z","11210"
"2019-05-21T00:00:00.000Z","10733"
"2019-05-22T00:00:00.000Z","10022"
"2019-05-23T00:00:00.000Z","9290"
"2019-05-24T00:00:00.000Z","8473"
"2019-05-25T00:00:00.000Z","8031"
"2019-05-26T00:00:00.000Z","9838"
"2019-05-27T00:00:00.000Z","11116"
"2019-05-28T00:00:00.000Z","9503"
"2019-05-29T00:00:00.000Z","9653"
"2019-05-30T00:00:00.000Z","11590"
"2019-05-31T00:00:00.000Z","8949"
"2019-06-01T00:00:00.000Z","7612"
"2019-06-02T00:00:00.000Z","8089"
"2019-06-03T00:00:00.000Z","9282"
"2019-06-04T00:00:00.000Z","10857"
"2019-06-05T00:00:00.000Z","7865"
"2019-06-06T00:00:00.000Z","7965"
"2019-06-07T00:00:00.000Z","9152"
"2019-06-08T00:00:00.000Z","5984"
"2019-06-09T00:00:00.000Z","6633"
"2019-06-10T00:00:00.000Z","7861"
"2019-06-11T00:00:00.000Z","7575"
"2019-06-12T00:00:00.000Z","8267"
"2019-06-13T00:00:00.000Z","9044"
"2019-06-14T00:00:00.000Z","12474"
"2019-06-15T00:00:00.000Z","9432"
"2019-06-16T00:00:00.000Z","11286"
"2019-06-17T00:00:00.000Z","11135"
"2019-06-18T00:00:00.000Z","11505"
"2019-06-19T00:00:00.000Z","9166"
"2019-06-20T00:00:00.000Z","10197"
"2019-06-21T00:00:00.000Z","13414"
"2019-06-22T00:00:00.000Z","19089"
"2019-06-23T00:00:00.000Z","11809"
"2019-06-24T00:00:00.000Z","11791"
"2019-06-25T00:00:00.000Z","15263"
"2019-06-26T00:00:00.000Z","26395"
"2019-06-27T00:00:00.000Z","18066"
"2019-06-28T00:00:00.000Z","13430"
"2019-06-29T00:00:00.000Z","9883"
"2019-06-30T00:00:00.000Z","9770"
"2019-07-01T00:00:00.000Z","10662"
"2019-07-02T00:00:00.000Z","13793"
"2019-07-03T00:00:00.000Z","11952"
"2019-07-04T00:00:00.000Z","11299"
"2019-07-05T00:00:00.000Z","9152"
"2019-07-06T00:00:00.000Z","8245"
"2019-07-07T00:00:00.000Z","8393"
"2019-07-08T00:00:00.000Z","10527"
"2019-07-09T00:00:00.000Z","12271"
"2019-07-10T00:00:00.000Z","14988"
"2019-07-11T00:00:00.000Z","11770"
"2019-07-12T00:00:00.000Z","12592"
"2019-07-13T00:00:00.000Z","8127"
"2019-07-14T00:00:00.000Z","10011"
"2019-07-15T00:00:00.000Z","11122"
"2019-07-16T00:00:00.000Z","12321"
"2019-07-17T00:00:00.000Z","12205"
"2019-07-18T00:00:00.000Z","10708"
"2019-07-19T00:00:00.000Z","9367"
"2019-07-20T00:00:00.000Z","8728"
"2019-07-21T00:00:00.000Z","7591"
"2019-07-22T00:00:00.000Z","8305"
"2019-07-23T00:00:00.000Z","8211"
"2019-07-24T00:00:00.000Z","8134"
"2019-07-25T00:00:00.000Z","7717"
"2019-07-26T00:00:00.000Z","7273"
"2019-07-27T00:00:00.000Z","7196"
"2019-07-28T00:00:00.000Z","6724"
"2019-07-29T00:00:00.000Z","6815"
"2019-07-30T00:00:00.000Z","6550"
"2019-07-31T00:00:00.000Z","7872"
"2019-08-01T00:00:00.000Z","7876"
"2019-08-02T00:00:00.000Z","7746"
"2019-08-03T00:00:00.000Z","7151"
"2019-08-04T00:00:00.000Z","6651"
"2019-08-05T00:00:00.000Z","10190"
"2019-08-06T00:00:00.000Z","9620"
"2019-08-07T00:00:00.000Z","9366"
"2019-08-08T00:00:00.000Z","8158"
"2019-08-09T00:00:00.000Z","8906"
"2019-08-10T00:00:00.000Z","6984"
"2019-08-11T00:00:00.000Z","6282"
"2019-08-12T00:00:00.000Z","6373"
"2019-08-13T00:00:00.000Z","7145"
"2019-08-14T00:00:00.000Z","9504"
"2019-08-15T00:00:00.000Z","8919"
"2019-08-16T00:00:00.000Z","7049"
"2019-08-17T00:00:00.000Z","5481"
"2019-08-18T00:00:00.000Z","6011"
"2019-08-19T00:00:00.000Z","6484"
"2019-08-20T00:00:00.000Z","7450"
"2019-08-21T00:00:00.000Z","8166"
"2019-08-22T00:00:00.000Z","7691"
"2019-08-23T00:00:00.000Z","6788"
"2019-08-24T00:00:00.000Z","5809"
"2019-08-25T00:00:00.000Z","5821"
"2019-08-26T00:00:00.000Z","6535"
"2019-08-27T00:00:00.000Z","6832"
"2019-08-28T00:00:00.000Z","7870"
"2019-08-29T00:00:00.000Z","6719"
"2019-08-30T00:00:00.000Z","5614"
"2019-08-31T00:00:00.000Z","4805"
"2019-09-01T00:00:00.000Z","5043"
"2019-09-02T00:00:00.000Z","6537"
"2019-09-03T00:00:00.000Z","7527"
"2019-09-04T00:00:00.000Z","6306"
"2019-09-05T00:00:00.000Z","5938"
"2019-09-06T00:00:00.000Z","6883"
"2019-09-07T00:00:00.000Z","4939"
"2019-09-08T00:00:00.000Z","4959"
"2019-09-09T00:00:00.000Z","5655"
"2019-09-10T00:00:00.000Z","6725"
"2019-09-11T00:00:00.000Z","7067"
"2019-09-12T00:00:00.000Z","6152"
"2019-09-13T00:00:00.000Z","5255"
"2019-09-14T00:00:00.000Z","4453"
"2019-09-15T00:00:00.000Z","4495"
"2019-09-16T00:00:00.000Z","6157"
"2019-09-17T00:00:00.000Z","6720"
"2019-09-18T00:00:00.000Z","7204"
"2019-09-19T00:00:00.000Z","7088"
"2019-09-20T00:00:00.000Z","5589"
"2019-09-21T00:00:00.000Z","4763"
"2019-09-22T00:00:00.000Z","5274"
"2019-09-23T00:00:00.000Z","6494"
"2019-09-24T00:00:00.000Z","10070"
"2019-09-25T00:00:00.000Z","8319"
"2019-09-26T00:00:00.000Z","8141"
"2019-09-27T00:00:00.000Z","7202"
"2019-09-28T00:00:00.000Z","4926"
"2019-09-29T00:00:00.000Z","4422"
"2019-09-30T00:00:00.000Z","5917"
"2019-10-01T00:00:00.000Z","5862"
"2019-10-02T00:00:00.000Z","6261"
"2019-10-03T00:00:00.000Z","6522"
"2019-10-04T00:00:00.000Z","6105"
"2019-10-05T00:00:00.000Z","5033"
"2019-10-06T00:00:00.000Z","6252"
"2019-10-07T00:00:00.000Z","6646"
"2019-10-08T00:00:00.000Z","5377"
"2019-10-09T00:00:00.000Z","6843"
"2019-10-10T00:00:00.000Z","6154"
"2019-10-11T00:00:00.000Z","5845"
"2019-10-12T00:00:00.000Z","4085"
"2019-10-13T00:00:00.000Z","4568"
"2019-10-14T00:00:00.000Z","5181"
"2019-10-15T00:00:00.000Z","5694"
"2019-10-16T00:00:00.000Z","6905"
"2019-10-17T00:00:00.000Z","6761"
"2019-10-18T00:00:00.000Z","6552"
"2019-10-19T00:00:00.000Z","5178"
"2019-10-20T00:00:00.000Z","5277"
"2019-10-21T00:00:00.000Z","5600"
"2019-10-22T00:00:00.000Z","6315"
"2019-10-23T00:00:00.000Z","8636"
"2019-10-24T00:00:00.000Z","7432"
"2019-10-25T00:00:00.000Z","9125"
"2019-10-26T00:00:00.000Z","10591"
"2019-10-27T00:00:00.000Z","7110"
"2019-10-28T00:00:00.000Z","6844"
"2019-10-29T00:00:00.000Z","6972"
"2019-10-30T00:00:00.000Z","6956"
"2019-10-31T00:00:00.000Z","6867"
"2019-11-01T00:00:00.000Z","6014"
"2019-11-02T00:00:00.000Z","5588"
"2019-11-03T00:00:00.000Z","4827"
"2019-11-04T00:00:00.000Z","6115"
"2019-11-05T00:00:00.000Z","6061"
"2019-11-06T00:00:00.000Z","6265"
"2019-11-07T00:00:00.000Z","6116"
"2019-11-08T00:00:00.000Z","6093"
"2019-11-09T00:00:00.000Z","5882"
"2019-11-10T00:00:00.000Z","4916"
"2019-11-11T00:00:00.000Z","5677"
"2019-11-12T00:00:00.000Z","5877"
"2019-11-13T00:00:00.000Z","5904"
"2019-11-14T00:00:00.000Z","6279"
"2019-11-15T00:00:00.000Z","6590"
"2019-11-16T00:00:00.000Z","4973"
"2019-11-17T00:00:00.000Z","5161"
"2019-11-18T00:00:00.000Z","6054"
"2019-11-19T00:00:00.000Z","6606"
"2019-11-20T00:00:00.000Z","5949"
"2019-11-21T00:00:00.000Z","9132"
"2019-11-22T00:00:00.000Z","10883"
"2019-11-23T00:00:00.000Z","7231"
"2019-11-24T00:00:00.000Z","7601"
"2019-11-25T00:00:00.000Z","9921"
"2019-11-26T00:00:00.000Z","6545"
"2019-11-27T00:00:00.000Z","7072"
"2019-11-28T00:00:00.000Z","6244"
"2019-11-29T00:00:00.000Z","7580"
"2019-11-30T00:00:00.000Z","5573"
"2019-12-01T00:00:00.000Z","6617"
"2019-12-02T00:00:00.000Z","7135"
"2019-12-03T00:00:00.000Z","6778"
"2019-12-04T00:00:00.000Z","7629"
"2019-12-05T00:00:00.000Z","6573"
"2019-12-06T00:00:00.000Z","6410"
"2019-12-07T00:00:00.000Z","4956"
"2019-12-08T00:00:00.000Z","5532"
"2019-12-09T00:00:00.000Z","6721"
"2019-12-10T00:00:00.000Z","6939"
"2019-12-11T00:00:00.000Z","5656"
"2019-12-12T00:00:00.000Z","6582"
"2019-12-13T00:00:00.000Z","6558"
"2019-12-14T00:00:00.000Z","5401"
"2019-12-15T00:00:00.000Z","4587"
"2019-12-16T00:00:00.000Z","7041"
"2019-12-17T00:00:00.000Z","8376"
"2019-12-18T00:00:00.000Z","6652"
"2019-12-19T00:00:00.000Z","5889"
"2019-12-20T00:00:00.000Z","5034"
"2019-12-21T00:00:00.000Z","4197"
"2019-12-22T00:00:00.000Z","5203"
"2019-12-23T00:00:00.000Z","6412"
"2019-12-24T00:00:00.000Z","5287"
"2019-12-25T00:00:00.000Z","4503"
"2019-12-26T00:00:00.000Z","5439"
"2019-12-27T00:00:00.000Z","5164"
"2019-12-28T00:00:00.000Z","4920"
"2019-12-29T00:00:00.000Z","5318"
"2019-12-30T00:00:00.000Z","5470"
"2019-12-31T00:00:00.000Z","5221"
"2020-01-01T00:00:00.000Z","4531"
"2020-01-02T00:00:00.000Z","6012"
"2020-01-03T00:00:00.000Z","7028"
"2020-01-04T00:00:00.000Z","5898"
"2020-01-05T00:00:00.000Z","6780"
"2020-01-06T00:00:00.000Z","6942"
"2020-01-07T00:00:00.000Z","8458"
"2020-01-08T00:00:00.000Z","8516"
"2020-01-09T00:00:00.000Z","5927"
"2020-01-10T00:00:00.000Z","6833"
"2020-01-11T00:00:00.000Z","6061"
"2020-01-12T00:00:00.000Z","5485"
"2020-01-13T00:00:00.000Z","5863"
"2020-01-14T00:00:00.000Z","9408"
"2020-01-15T00:00:00.000Z","8208"
"2020-01-16T00:00:00.000Z","6434"
"2020-01-17T00:00:00.000Z","7719"
"2020-01-18T00:00:00.000Z","6041"
"2020-01-19T00:00:00.000Z","7930"
"2020-01-20T00:00:00.000Z","6355"
"2020-01-21T00:00:00.000Z","6254"
"2020-01-22T00:00:00.000Z","5494"
"2020-01-23T00:00:00.000Z","6855"
"2020-01-24T00:00:00.000Z","6250"
"2020-01-25T00:00:00.000Z","5137"
"2020-01-26T00:00:00.000Z","5355"
"2020-01-27T00:00:00.000Z","6737"
"2020-01-28T00:00:00.000Z","7986"
"2020-01-29T00:00:00.000Z","7490"
"2020-01-30T00:00:00.000Z","7037"
"2020-01-31T00:00:00.000Z","5621"
"2020-02-01T00:00:00.000Z","4765"
"2020-02-02T00:00:00.000Z","6755"
"2020-02-03T00:00:00.000Z","6280"
"2020-02-04T00:00:00.000Z","5330"
"2020-02-05T00:00:00.000Z","6078"
"2020-02-06T00:00:00.000Z","5389"
"2020-02-07T00:00:00.000Z","4582"
"2020-02-08T00:00:00.000Z","6301"
"2020-02-09T00:00:00.000Z","8114"
"2020-02-10T00:00:00.000Z","7240"
"2020-02-11T00:00:00.000Z","7188"
"2020-02-12T00:00:00.000Z","7958"
"2020-02-13T00:00:00.000Z","8539"
"2020-02-14T00:00:00.000Z","6824"
"2020-02-15T00:00:00.000Z","6282"
"2020-02-16T00:00:00.000Z","6528"
"2020-02-17T00:00:00.000Z","7429"
"2020-02-18T00:00:00.000Z","7493"
"2020-02-19T00:00:00.000Z","7391"
"2020-02-20T00:00:00.000Z","7121"
"2020-02-21T00:00:00.000Z","6727"
"2020-02-22T00:00:00.000Z","5103"
"2020-02-23T00:00:00.000Z","6026"
"2020-02-24T00:00:00.000Z","7623"
"2020-02-25T00:00:00.000Z","8172"
"2020-02-26T00:00:00.000Z","9671"
"2020-02-27T00:00:00.000Z","8208"
"2020-02-28T00:00:00.000Z","7704"
"2020-02-29T00:00:00.000Z","4991"
"2020-03-01T00:00:00.000Z","6100"
"2020-03-02T00:00:00.000Z","6794"
"2020-03-03T00:00:00.000Z","6599"
"2020-03-04T00:00:00.000Z","5843"
"2020-03-05T00:00:00.000Z","6911"
"2020-03-06T00:00:00.000Z","5729"
"2020-03-07T00:00:00.000Z","5318"
"2020-03-08T00:00:00.000Z","9109"
"2020-03-09T00:00:00.000Z","11289"
"2020-03-10T00:00:00.000Z","7956"
"2020-03-11T00:00:00.000Z","7458"
"2020-03-12T00:00:00.000Z","22899"
"2020-03-13T00:00:00.000Z","22585"
"2020-03-14T00:00:00.000Z","8417"
"2020-03-15T00:00:00.000Z","9587"
"2020-03-16T00:00:00.000Z","13018"
"2020-03-17T00:00:00.000Z","8826"
"2020-03-18T00:00:00.000Z","8356"
"2020-03-19T00:00:00.000Z","10671"
"2020-03-20T00:00:00.000Z","10332"
"2020-03-21T00:00:00.000Z","6607"
"2020-03-22T00:00:00.000Z","7617"
"2020-03-23T00:00:00.000Z","9257"
"2020-03-24T00:00:00.000Z","8442"
"2020-03-25T00:00:00.000Z","7870"
"2020-03-26T00:00:00.000Z","6892"
"2020-03-27T00:00:00.000Z","7299"
"2020-03-28T00:00:00.000Z","7600"
"2020-03-29T00:00:00.000Z","7070"
"2020-03-30T00:00:00.000Z","7669"
"2020-03-31T00:00:00.000Z","6120"
"2020-04-01T00:00:00.000Z","7531"
"2020-04-02T00:00:00.000Z","9438"
"2020-04-03T00:00:00.000Z","7132"
"2020-04-04T00:00:00.000Z","5840"
"2020-04-05T00:00:00.000Z","5686"
"2020-04-06T00:00:00.000Z","9089"
"2020-04-07T00:00:00.000Z","8390"
